
cwp001,6.2,22.5303

cwp002,8.7,18.9541

cwp003,10.55,18.9521

cwp004,8.4,26.0845

cwp005,10.2,22.6883

cwp006,8.3,23.7414

cwp007,4.3,25.2214

cwp008,5.7,28.3556

cwp009,7.3,20.8912

cwp010,7.6,20.1132

cwp011,23.6,36.4211

cwp012,28.95,41.6364

cwp013,27.3,45.0656

cwp014,17,37.2481

cwp015,22.4,49.1948

cwp016,10.15,34.587

cwp017,17.95,30.8418

cwp018,20.5,32.3138

cwp019,19.35,41.5234

cwp020,19.6,33.8569

cwp021,39.7,52.058

cwp022,46.4,52.043

cwp023,40.5,55.4662

cwp024,33.45,51.664

cwp025,41.95,64.7757

cwp026,26.15,40.2363

cwp027,27.9,42.6884

cwp028,29.8,51.626

cwp029,30.5,47.0647

cwp030,36,46.8037

cwp031,57.05,93.1643

cwp032,64.75,73.4522

cwp033,57.2,71.9191

cwp034,56.7,73.8102

cwp035,53.55,63.0696

cwp036,29.7,97.5706

cwp037,45.8,81.1866

cwp038,31.5,77.2104

cwp039,35.55,71.7661
