Generation,Mean fitness,Best fitness
318,28.254,26.1
319,28.254,26.1
320,28.254,26.1
321,28.254,26.1
322,28.252,26.1
323,28.242,26.1
324,28.24,26.1
325,28.24,26.1
326,28.206,26.1
327,28.206,26.1
328,28.206,26.1
329,28.206,26.1
330,28.206,26.1
331,28.206,26.1
332,28.206,26.1
333,28.198,26.1
334,28.198,26.1
335,28.198,26.1
336,28.198,26.1
337,28.19,26.1
338,28.19,26.1
339,28.184,26.1
340,28.144,26.1
341,28.144,26.1
342,28.144,26.1
343,28.144,26.1
344,28.118,26.1
345,28.118,26.1
346,28.118,26.1
347,28.118,26.1
348,28.118,26.1
349,28.118,26.1
350,28.116,26.1
351,28.09,26.1
352,28.09,26.1
353,28.09,26.1
354,28.09,26.1
355,28.09,26.1
356,28.09,26.1
357,28.062,26.1
358,28.06,26.1
359,28.06,26.1
360,28.048,26.1
361,28.048,26.1
362,28.048,26.1
363,28.038,26.1
364,28.03,26.1
365,28.03,26.1
366,28.03,26.1
367,28.03,26.1
368,28.03,26.1
369,28.024,26.1
370,28.024,26.1
371,28.024,26.1
372,28.024,26.1
373,28.024,26.1
374,28.018,26.1
375,28.018,26.1
376,28.012,26.1
377,28.012,26.1
378,28.012,26.1
379,28.012,26.1
380,28,26.1
381,28,26.1
382,28,26.1
383,27.986,26.1
384,27.986,26.1
385,27.986,26.1
386,27.986,26.1
387,27.986,26.1
388,27.962,26.1
389,27.95,26.1
390,27.95,26.1
391,27.95,26.1
392,27.95,26.1
393,27.95,26.1
394,27.95,26.1
395,27.912,26.1
396,27.912,26.1
397,27.912,26.1
398,27.912,26.1
399,27.912,26.1
400,27.912,26.1
401,27.912,26.1
402,27.912,26.1
403,27.906,26.1
404,27.9,26.1
405,27.9,26.1
406,27.9,26.1
407,27.878,26.1
408,27.864,26.1
409,27.836,26.1
410,27.836,26.1
411,27.818,26.1
412,27.818,26.1
413,27.806,26.1
414,27.806,26.1
415,27.792,26.1
416,27.788,26.1
417,27.788,26.1
418,27.788,26.1
419,27.766,26.1
420,27.766,26.1
421,27.766,26.1
422,27.754,26.1
423,27.754,26.1
424,27.754,26.1
425,27.754,26.1
426,27.754,26.1
427,27.754,26.1
428,27.754,26.1
429,27.722,26.1
430,27.722,26.1
431,27.722,26.1
432,27.722,26.1
433,27.716,26.1
434,27.716,26.1
435,27.716,26.1
436,27.716,26.1
437,27.698,26.1
438,27.698,26.1
439,27.698,26.1
440,27.698,26.1
441,27.686,26.1
442,27.686,26.1
443,27.686,26.1
444,27.686,26.1
445,27.686,26.1
446,27.682,26.1
447,27.68,26.1
448,27.672,26.1
449,27.672,26.1
450,27.672,26.1
451,27.672,26.1
452,27.672,26.1
453,27.672,26.1
454,27.672,26.1
455,27.672,26.1
456,27.672,26.1
457,27.672,26.1
458,27.672,26.1
459,27.672,26.1
460,27.672,26.1
461,27.672,26.1
462,27.672,26.1
463,27.672,26.1
464,27.672,26.1
465,27.672,26.1
466,27.672,26.1
467,27.672,26.1
468,27.672,26.1
469,27.672,26.1
470,27.672,26.1
471,27.672,26.1
472,27.672,26.1
473,27.672,26.1
474,27.672,26.1
475,27.672,26.1
476,27.672,26.1
477,27.668,26.1
478,27.668,26.1
479,27.652,26.1
480,27.652,26.1
481,27.652,26.1
482,27.648,26.1
483,27.648,26.1
484,27.648,26.1
485,27.648,26.1
486,27.648,26.1
487,27.648,26.1
488,27.648,26.1
489,27.648,26.1
490,27.648,26.1
491,27.648,26.1
492,27.648,26.1
493,27.648,26.1
494,27.648,26.1
495,27.648,26.1
496,27.648,26.1
497,27.648,26.1
498,27.648,26.1
499,27.648,26.1
500,27.648,26.1
501,27.648,26.1
502,27.626,26.1
503,27.626,26.1
504,27.626,26.1
505,27.626,26.1
506,27.626,26.1
507,27.622,26.1
508,27.622,26.1
509,27.622,26.1
510,27.622,26.1
511,27.586,26.1
512,27.586,26.1
513,27.586,26.1
514,27.586,26.1
515,27.58,26.1
516,27.552,26.1
517,27.552,26.1
518,27.552,26.1
519,27.552,26.1
520,27.552,26.1
521,27.552,26.1
522,27.552,26.1
523,27.552,26.1
524,27.552,26.1
525,27.552,26.1
526,27.552,26.1
527,27.552,26.1
528,27.552,26.1
529,27.552,26.1
530,27.552,26.1
531,27.552,26.1
532,27.552,26.1
533,27.552,26.1
534,27.552,26.1
535,27.552,26.1
536,27.552,26.1
537,27.552,26.1
538,27.552,26.1
539,27.552,26.1
540,27.552,26.1
541,27.552,26.1
542,27.552,26.1
543,27.552,26.1
544,27.55,26.1
545,27.538,26.1
546,27.538,26.1
547,27.538,26.1
548,27.538,26.1
549,27.538,26.1
550,27.538,26.1
551,27.538,26.1
552,27.538,26.1
553,27.538,26.1
554,27.538,26.1
555,27.538,26.1
556,27.536,26.1
557,27.536,26.1
558,27.536,26.1
559,27.536,26.1
560,27.536,26.1
561,27.536,26.1
562,27.536,26.1
563,27.536,26.1
564,27.526,26.1
565,27.526,26.1
566,27.526,26.1
567,27.526,26.1
568,27.526,26.1
569,27.526,26.1
570,27.526,26.1
571,27.526,26.1
572,27.524,26.1
573,27.524,26.1
574,27.524,26.1
575,27.524,26.1
576,27.48,25.9
577,27.48,25.9
578,27.48,25.9
579,27.454,25.9
580,27.454,25.9
581,27.454,25.9
582,27.454,25.9
583,27.436,25.9
584,27.436,25.9
585,27.398,25.9
586,27.398,25.9
587,27.398,25.9
588,27.398,25.9
589,27.382,25.9
590,27.378,25.9
591,27.358,25.9
592,27.342,25.9
593,27.342,25.9
594,27.342,25.9
595,27.314,25.9
596,27.314,25.9
597,27.314,25.9
598,27.314,25.9
599,27.304,25.9
600,27.304,25.9
601,27.284,25.9
602,27.284,25.9
603,27.284,25.9
604,27.284,25.9
605,27.284,25.9
606,27.284,25.9
607,27.258,25.9
608,27.258,25.9
609,27.258,25.9
610,27.258,25.9
611,27.246,25.9
612,27.246,25.9
613,27.246,25.9
614,27.246,25.9
615,27.246,25.9
616,27.246,25.9
617,27.246,25.9
618,27.24,25.9
619,27.24,25.9
620,27.24,25.9
621,27.234,25.9
622,27.23,25.9
623,27.23,25.9
624,27.23,25.9
625,27.23,25.9
626,27.23,25.9
627,27.23,25.9
628,27.23,25.9
629,27.23,25.9
630,27.23,25.9
631,27.23,25.9
632,27.23,25.9
633,27.23,25.9
634,27.23,25.9
635,27.23,25.9
636,27.23,25.9
637,27.218,25.9
638,27.218,25.9
639,27.214,25.9
640,27.184,25.9
641,27.184,25.9
642,27.184,25.9
643,27.182,25.9
644,27.182,25.9
645,27.182,25.9
646,27.182,25.9
647,27.182,25.9
648,27.182,25.9
649,27.182,25.9
650,27.182,25.9
651,27.182,25.9
652,27.182,25.9
653,27.182,25.9
654,27.182,25.9
655,27.182,25.9
656,27.182,25.9
657,27.182,25.9
658,27.182,25.9
659,27.182,25.9
660,27.182,25.9
661,27.182,25.9
662,27.182,25.9
663,27.182,25.9
664,27.158,25.9
665,27.13,25.9
666,27.13,25.9
667,27.13,25.9
668,27.13,25.9
669,27.13,25.9
670,27.13,25.9
671,27.13,25.9
672,27.13,25.9
673,27.13,25.9
674,27.13,25.9
675,27.102,25.9
676,27.102,25.9
677,27.102,25.9
678,27.102,25.9
679,27.102,25.9
680,27.102,25.9
681,27.102,25.9
682,27.102,25.9
683,27.102,25.9
684,27.102,25.9
685,27.102,25.9
686,27.082,25.9
687,27.082,25.9
688,27.082,25.9
689,27.082,25.9
690,27.082,25.9
691,27.082,25.9
692,27.08,25.9
693,27.052,25.9
694,27.052,25.9
695,27.052,25.9
696,27.052,25.9
697,27.052,25.9
698,27.036,25.9
699,27.036,25.9
700,27.036,25.9
701,27.036,25.9
702,27.036,25.9
703,27.036,25.9
704,27,25.8
705,27,25.8
706,27,25.8
707,27,25.8
708,27,25.8
709,27,25.8
710,27,25.8
711,27,25.8
712,27,25.8
713,26.986,25.8
714,26.986,25.8
715,26.986,25.8
716,26.986,25.8
717,26.986,25.8
718,26.986,25.8
719,26.974,25.8
720,26.974,25.8
721,26.974,25.8
722,26.974,25.8
723,26.974,25.8
724,26.974,25.8
725,26.974,25.8
726,26.974,25.8
727,26.974,25.8
728,26.974,25.8
729,26.974,25.8
730,26.974,25.8
731,26.974,25.8
732,26.96,25.8
733,26.96,25.8
734,26.96,25.8
735,26.96,25.8
736,26.96,25.8
737,26.96,25.8
738,26.96,25.8
739,26.96,25.8
740,26.96,25.8
741,26.96,25.8
742,26.96,25.8
743,26.96,25.8
744,26.96,25.8
745,26.96,25.8
746,26.96,25.8
747,26.96,25.8
748,26.96,25.8
749,26.96,25.8
750,26.96,25.8
751,26.96,25.8
752,26.96,25.8
753,26.96,25.8
754,26.96,25.8
755,26.934,25.8
756,26.934,25.8
757,26.934,25.8
758,26.892,25.4
759,26.892,25.4
760,26.892,25.4
761,26.892,25.4
762,26.872,25.4
763,26.872,25.4
764,26.872,25.4
765,26.872,25.4
766,26.872,25.4
767,26.872,25.4
768,26.872,25.4
769,26.872,25.4
770,26.872,25.4
771,26.872,25.4
772,26.872,25.4
773,26.872,25.4
774,26.872,25.4
775,26.872,25.4
776,26.868,25.4
777,26.868,25.4
778,26.846,25.4
779,26.846,25.4
780,26.834,25.4
781,26.834,25.4
782,26.834,25.4
783,26.834,25.4
784,26.812,25.4
785,26.812,25.4
786,26.812,25.4
787,26.782,25.4
788,26.782,25.4
789,26.752,25.4
790,26.752,25.4
791,26.752,25.4
792,26.752,25.4
793,26.752,25.4
794,26.752,25.4
795,26.752,25.4
796,26.752,25.4
797,26.75,25.4
798,26.732,25.4
799,26.732,25.4
800,26.732,25.4
801,26.732,25.4
802,26.732,25.4
803,26.732,25.4
804,26.696,25.4
805,26.69,25.4
806,26.69,25.4
807,26.672,25.4
808,26.672,25.4
809,26.662,25.4
810,26.662,25.4
811,26.636,25.4
812,26.636,25.4
813,26.636,25.4
814,26.634,25.4
815,26.626,25.4
816,26.626,25.4
817,26.618,25.4
818,26.618,25.4
819,26.618,25.4
820,26.618,25.4
821,26.618,25.4
822,26.618,25.4
823,26.61,25.4
824,26.61,25.4
825,26.61,25.4
826,26.61,25.4
827,26.552,24.4
828,26.552,24.4
829,26.552,24.4
830,26.552,24.4
831,26.552,24.4
832,26.552,24.4
833,26.552,24.4
834,26.552,24.4
835,26.552,24.4
836,26.552,24.4
837,26.552,24.4
838,26.552,24.4
839,26.552,24.4
840,26.552,24.4
841,26.546,24.4
842,26.546,24.4
843,26.546,24.4
844,26.546,24.4
845,26.528,24.4
846,26.528,24.4
847,26.508,24.4
848,26.508,24.4
849,26.508,24.4
850,26.486,24.4
851,26.486,24.4
852,26.486,24.4
853,26.486,24.4
854,26.486,24.4
855,26.486,24.4
856,26.486,24.4
857,26.482,24.4
858,26.482,24.4
859,26.462,24.4
860,26.462,24.4
861,26.454,24.4
862,26.454,24.4
863,26.454,24.4
864,26.454,24.4
865,26.454,24.4
866,26.454,24.4
867,26.454,24.4
868,26.44,24.4
869,26.44,24.4
870,26.44,24.4
871,26.44,24.4
872,26.44,24.4
873,26.44,24.4
874,26.44,24.4
875,26.44,24.4
876,26.44,24.4
877,26.438,24.4
878,26.438,24.4
879,26.438,24.4
880,26.438,24.4
881,26.42,24.4
882,26.42,24.4
883,26.42,24.4
884,26.42,24.4
885,26.42,24.4
886,26.42,24.4
887,26.42,24.4
888,26.42,24.4
889,26.42,24.4
890,26.42,24.4
891,26.42,24.4
892,26.42,24.4
893,26.42,24.4
894,26.42,24.4
895,26.42,24.4
896,26.42,24.4
897,26.42,24.4
898,26.42,24.4
899,26.42,24.4
900,26.42,24.4
901,26.42,24.4
902,26.42,24.4
903,26.42,24.4
904,26.42,24.4
905,26.42,24.4
906,26.42,24.4
907,26.402,24.4
908,26.402,24.4
909,26.402,24.4
910,26.402,24.4
911,26.402,24.4
912,26.402,24.4
913,26.402,24.4
914,26.402,24.4
915,26.402,24.4
916,26.402,24.4
917,26.402,24.4
918,26.402,24.4
919,26.402,24.4
920,26.402,24.4
921,26.402,24.4
922,26.402,24.4
923,26.402,24.4
924,26.402,24.4
925,26.384,24.4
926,26.384,24.4
927,26.384,24.4
928,26.384,24.4
929,26.384,24.4
930,26.384,24.4
931,26.384,24.4
932,26.384,24.4
933,26.384,24.4
934,26.384,24.4
935,26.384,24.4
936,26.384,24.4
937,26.362,24.4
938,26.362,24.4
939,26.362,24.4
940,26.362,24.4
941,26.362,24.4
942,26.362,24.4
943,26.362,24.4
944,26.362,24.4
945,26.362,24.4
946,26.362,24.4
947,26.362,24.4
948,26.362,24.4
949,26.362,24.4
950,26.36,24.4
951,26.36,24.4
952,26.36,24.4
953,26.36,24.4
954,26.36,24.4
955,26.36,24.4
956,26.36,24.4
957,26.36,24.4
958,26.354,24.4
959,26.354,24.4
960,26.354,24.4
961,26.354,24.4
962,26.354,24.4
963,26.346,24.4
964,26.324,24.4
965,26.324,24.4
966,26.324,24.4
967,26.324,24.4
968,26.324,24.4
969,26.324,24.4
970,26.324,24.4
971,26.324,24.4
972,26.324,24.4
973,26.324,24.4
974,26.324,24.4
975,26.306,24.4
976,26.306,24.4
977,26.306,24.4
978,26.288,24.4
979,26.288,24.4
980,26.288,24.4
981,26.288,24.4
982,26.288,24.4
983,26.242,24.4
984,26.242,24.4
985,26.242,24.4
986,26.242,24.4
987,26.242,24.4
988,26.242,24.4
989,26.242,24.4
990,26.242,24.4
991,26.242,24.4
992,26.242,24.4
993,26.242,24.4
994,26.222,24.4
995,26.222,24.4
996,26.222,24.4
997,26.222,24.4
998,26.222,24.4
999,26.222,24.4
1000,26.222,24.4
1001,26.222,24.4
1002,26.218,24.4
1003,26.218,24.4
1004,26.218,24.4
1005,26.218,24.4
1006,26.218,24.4
1007,26.218,24.4
1008,26.218,24.4
1009,26.218,24.4
1010,26.218,24.4
1011,26.218,24.4
1012,26.218,24.4
1013,26.218,24.4
1014,26.218,24.4
1015,26.218,24.4
1016,26.218,24.4
1017,26.218,24.4
1018,26.218,24.4
1019,26.218,24.4
1020,26.218,24.4
1021,26.2,24.4
1022,26.2,24.4
1023,26.2,24.4
1024,26.2,24.4
1025,26.2,24.4
1026,26.2,24.4
1027,26.2,24.4
1028,26.2,24.4
1029,26.2,24.4
1030,26.2,24.4
1031,26.2,24.4
1032,26.2,24.4
1033,26.2,24.4
1034,26.2,24.4
1035,26.198,24.4
1036,26.198,24.4
1037,26.174,24.4
1038,26.174,24.4
1039,26.174,24.4
1040,26.17,24.4
1041,26.17,24.4
1042,26.134,24.4
1043,26.134,24.4
1044,26.134,24.4
1045,26.134,24.4
1046,26.134,24.4
1047,26.134,24.4
1048,26.134,24.4
1049,26.134,24.4
1050,26.134,24.4
1051,26.126,24.4
1052,26.126,24.4
1053,26.126,24.4
1054,26.126,24.4
1055,26.126,24.4
1056,26.126,24.4
1057,26.126,24.4
1058,26.126,24.4
1059,26.126,24.4
1060,26.126,24.4
1061,26.126,24.4
1062,26.126,24.4
1063,26.098,24.4
1064,26.098,24.4
1065,26.098,24.4
1066,26.082,24.4
1067,26.062,24.4
1068,26.062,24.4
1069,26.062,24.4
1070,26.062,24.4
1071,26.062,24.4
1072,26.05,24.4
1073,26.05,24.4
1074,26.05,24.4
1075,26.05,24.4
1076,26.05,24.4
1077,26.05,24.4
1078,26.05,24.4
1079,26.05,24.4
1080,26.048,24.4
1081,26.048,24.4
1082,26.048,24.4
1083,26.048,24.4
1084,26.044,24.4
1085,26.044,24.4
1086,26.044,24.4
1087,26.044,24.4
1088,26.044,24.4
1089,26.044,24.4
1090,26.044,24.4
1091,26.044,24.4
1092,26.044,24.4
1093,26.044,24.4
1094,26.044,24.4
1095,26.044,24.4
1096,26.044,24.4
1097,26.044,24.4
1098,26.044,24.4
1099,26.044,24.4
1100,26.044,24.4
1101,26.044,24.4
1102,26.044,24.4
1103,26.044,24.4
1104,26.044,24.4
1105,26.042,24.4
1106,26.042,24.4
1107,26.042,24.4
1108,26.028,24.4
1109,26.028,24.4
1110,26.028,24.4
1111,26.01,24.4
1112,26.01,24.4
1113,26.01,24.4
