cwp021,35.95,270.563
cwp021,36.6,207.934
cwp022,45.4,229.203
cwp022,50.1,256.609
cwp022,43.4,175.047
cwp022,47.15,229.44
cwp022,44.75,230.538
cwp022,47,256.082
cwp022,45.8,175.177
cwp022,49.55,202.217
cwp022,46.75,228.522
cwp022,47.4,230.685
cwp023,41.2,163.602
cwp023,41.9,212.73
cwp023,41.7,238.103
cwp023,44.1,239.678
cwp023,40.2,212.357
cwp023,40.1,188.642
cwp023,41.4,213.423
cwp023,42.6,163.779
cwp023,42.5,188.994
cwp023,40.7,212.74
cwp024,34.45,311.746
cwp024,31.8,273.257
cwp024,33.9,314.022
cwp024,34.2,235.296
cwp024,32.85,273.469
cwp024,35.35,197.122
cwp024,31.45,272.91
cwp024,33,273.971
cwp024,32.45,234.055
cwp024,32.6,236.516
cwp025,41.8,278.122
cwp025,43.35,218.879
cwp025,44.2,218.186
cwp025,44.45,218.566
cwp025,44.35,250.773
cwp025,43.05,278.753
cwp025,41.9,249.265
cwp025,41.9,187.381
cwp025,42.45,217.176
cwp025,42,216.997
cwp026,26.3,208.538
cwp026,24.55,247.45
cwp026,26,183.557
cwp026,26.1,152.31
cwp026,25.15,149.887
cwp026,25.95,212.821
cwp026,25.05,214.35
cwp026,25.7,213.518
cwp026,26.2,276.557
cwp026,25.8,241.143
cwp027,27.45,247.919
cwp027,28.4,214.345
cwp027,27.9,215.396
cwp027,28.9,279.951
cwp027,27.75,245.282
cwp027,28.75,182.236
cwp027,28.65,247.019
cwp027,28.5,214.15
cwp027,28.1,245.969
cwp027,28.05,246.457
cwp028,31.55,177.037
cwp028,31.3,180.756
cwp028,31.3,180.457
cwp028,29.1,158.313
cwp028,31.2,177.709
cwp028,30.95,133.842
cwp028,32.25,179.056
cwp028,30.65,180.679
cwp028,29.4,157.693
cwp028,31.55,156.631
cwp029,29.15,228.678
cwp029,32.3,261.388
cwp029,30.65,262.508
cwp029,32.1,294.515
cwp029,29.45,261.716
cwp029,31.1,226.815
cwp029,29.15,298.891
cwp029,29.65,297.277
cwp029,29.3,263.942
cwp029,29.2,294.034
cwp030,38.8,240.73
cwp030,34.25,210.037
cwp030,35.35,238.301
cwp030,35.25,209.108
cwp030,37.45,243.743
cwp030,35.45,209.491
cwp030,33.5,240.612
cwp030,34.1,273.494
cwp030,35.45,179.851
cwp030,34.9,237.036
cwp031,56.6,354.145
cwp031,58.85,412
cwp031,57.45,354.526
cwp031,55.6,414.34
cwp031,52.95,410.932
cwp031,54.9,352.507
cwp031,58.85,412.134
cwp031,56.4,411.856
cwp031,54.65,356.217
cwp031,54.7,352.32
cwp032,66.05,213.147
cwp032,66.45,214.899
cwp032,68.1,242.151
cwp032,65.55,270.494
cwp032,65.9,185.924
cwp032,69.2,271.951
cwp032,68.4,183.237
cwp032,63.85,244.088
cwp032,66.05,216.119
cwp032,67.1,154.691
cwp033,57.1,221.24
cwp033,59,325.158
cwp033,57.85,375.494
cwp033,55.4,325.317
cwp033,58.65,222.247
cwp033,58.8,273.492
cwp033,57.35,324.799
cwp033,57.3,321.794
cwp033,56.8,374.008
cwp033,61.45,326.191
cwp034,54.3,342.435
cwp034,51.3,251.301
cwp034,52.55,207.386
cwp034,49.9,296.468
cwp034,51.45,345.049
cwp034,52.65,343.959
cwp034,51.65,298.567
cwp034,50.7,346.104
cwp034,52.7,344.733
cwp034,52,348.125
cwp035,51.25,311.367
cwp035,54.15,228.272
cwp035,53.25,270.823
cwp035,53.55,273.559
cwp035,55.95,269.901
cwp035,53.6,230.769
cwp035,52.45,230.698
cwp035,53.6,314.244
cwp035,52.7,270.259
cwp035,51.8,269.712
cwp036,29.45,358.58
cwp036,29.2,357.413
cwp036,29.9,309.211
cwp036,30.3,302.911
cwp036,29.45,354.961
cwp036,29.1,351.619
cwp036,29.15,302.162
cwp036,28.25,352.981
cwp036,29.5,253.887
cwp036,29.25,354.259
cwp037,46.7,288.203
cwp037,45.8,337.045
cwp037,45.1,333.864
cwp037,48.45,337.676
cwp037,44.15,381.309
cwp037,46.1,336.808
cwp037,46.8,336.051
cwp037,46.45,337.399
cwp037,47.75,376.595
cwp037,46.45,287.559
cwp038,31.45,393.215
cwp038,30.5,296.774
cwp038,30.7,293.16
cwp038,31.9,197.713
cwp038,30.35,245.455
cwp038,30.85,344.675
cwp038,32.4,340.25
cwp038,32.65,291.371
cwp038,31.5,203.68
cwp038,33.95,347.05
cwp039,38.55,303.692
cwp039,36.75,301.006
cwp039,37.1,250.707
cwp039,36.95,352.14
cwp039,35.15,299.677
cwp039,39.15,401.945
cwp039,36.45,303.218
cwp039,38,302.866
cwp039,36.2,300.858
cwp039,37.35,300.347
cwp040,46.75,326.859
cwp040,47.7,325.778
cwp040,47.75,326.832
cwp040,47.7,329.417
cwp040,46.4,381.471
cwp040,49.8,386.709
cwp040,48.85,329.131
cwp040,49.5,439.151
cwp040,48.35,328.428
cwp040,47.05,329.888
cwp041,76.1,376.571
cwp041,81.85,381.27
cwp041,81.9,444.263
cwp041,81.1,380.602
cwp041,82.9,382.386
cwp041,85.25,320.542
cwp041,81.5,315.844
cwp041,79.6,315.225
cwp041,79.3,378.753
cwp041,86.55,381.057
cwp042,73.35,352.362
cwp042,72.4,350.609
cwp042,74.6,363.201
cwp042,70,407.494
cwp042,73.6,467.192
cwp042,72.55,296.774
cwp042,71.4,237.665
cwp042,71.7,297.491
cwp042,71.2,295.891
cwp042,71.9,409.224
cwp043,84.55,261.919
cwp043,84.45,390.205
cwp043,80.95,389.772
cwp043,80.15,390.108
cwp043,81.15,328.038
cwp043,85.1,393.181
cwp043,86.15,458.418
cwp043,83.45,328.063
cwp043,86.2,324.372
cwp043,85.1,456.112
cwp044,74,380.636
cwp044,79,380.056
cwp044,71.85,321.824
cwp044,74.2,446.07
cwp044,72.4,317.65
cwp044,76.55,321.408
cwp044,73.3,382.181
cwp044,74.2,320.766
cwp044,71.8,385.579
cwp044,71.2,383.604
cwp045,87.7,498.649
cwp045,95.55,424.243
cwp045,92.25,426.777
cwp045,87.85,353.169
cwp045,86.25,424.416
cwp045,92.4,425.297
cwp045,94.05,422.138
cwp045,92.8,496.292
cwp045,90.5,425.617
cwp045,91.8,503.092
cwp046,58.3,582.178
cwp046,57.75,485.567
cwp046,56.65,503.355
cwp046,60.15,493.428
cwp046,55.8,411.164
cwp046,54.5,405.115
cwp046,59.15,494.242
cwp046,55.7,318.045
cwp046,56.05,403.012
cwp046,56.35,575.322
cwp047,44.1,473.919
cwp047,44.5,471.358
cwp047,41.95,556.177
cwp047,43.95,304.888
cwp047,41.4,375.292
cwp047,42.55,392.689
cwp047,41.7,389.598
cwp047,42.85,467.798
cwp047,44.75,473.771
cwp047,44.15,541.47
cwp048,42.2,537.304
cwp048,43.9,458.27
cwp048,42.65,456.091
cwp048,44.85,371.711
cwp048,44.6,617.585
cwp048,42.55,462.175
cwp048,45.4,530.975
cwp048,45.75,375.405
cwp048,44,378.393
cwp048,42.7,376.488
cwp049,51.9,416.315
cwp049,54.45,512.45
cwp049,55.2,510.615
cwp049,53.15,330.824
cwp049,52.5,416.154
cwp049,54.55,610.194
cwp049,52.45,597.726
cwp049,53.5,334.367
cwp049,52.95,511.2
cwp049,53.1,506.112
cwp050,54.4,527.96
cwp050,50.65,431.908
cwp050,52.65,540.828
cwp050,50.2,526.889
cwp050,50.35,644.088
cwp050,51.35,628.07
cwp050,50.2,633.647
cwp050,51,529.94
cwp050,48.6,434.062
cwp050,51.55,331.914
