cwp051,95.15,97.216
cwp051,85.65,96.1065
cwp051,86.25,74.4172
cwp051,91.3,96.2224
cwp051,91.4,116.268
cwp051,83.4,94.4329
cwp051,83.3,113.828
cwp051,90.2,75.3088
cwp051,89.5,115.436
cwp051,86.15,96.2318
cwp052,65.3,87.8313
cwp052,66.5,107.141
cwp052,70.55,88.9622
cwp052,65.45,107.673
cwp052,67.55,87.454
cwp052,65.35,104.379
cwp052,67.6,108.537
cwp052,63.05,86.5006
cwp052,70.25,104.617
cwp052,67.7,106.909
cwp053,74.85,90.6315
cwp053,77.9,72.6104
cwp053,70.25,93.869
cwp053,70.1,73.6506
cwp053,71.7,91.0359
cwp053,75.4,94.5129
cwp053,72.15,72.9208
cwp053,71.1,132.642
cwp053,72.3,92.5929
cwp053,68.9,112.847
cwp054,79.5,118.189
cwp054,81.9,96.5722
cwp054,76.25,97.0271
cwp054,77.15,97.4545
cwp054,75.45,95.6566
cwp054,77.25,138.719
cwp054,77.35,117.782
cwp054,77.75,118.292
cwp054,76.1,96.3782
cwp054,79.6,116.086
cwp055,93.2,128.276
cwp055,89.35,102.843
cwp055,93.4,105.945
cwp055,94.35,155.376
cwp055,94.9,130.576
cwp055,92.85,80.3072
cwp055,91.2,107.092
cwp055,88.45,106.253
cwp055,92.2,129.037
cwp055,97.25,129.584
cwp056,49,136.013
cwp056,47.05,133.086
cwp056,49.1,164.967
cwp056,46.7,132.678
cwp056,47.65,100.993
cwp056,45.25,169.056
cwp056,46.75,141.886
cwp056,45.2,136.819
cwp056,48.55,167.56
cwp056,46.95,128.954
cwp057,59.35,99.1592
cwp057,57.25,154
cwp057,63.1,92.9051
cwp057,58.6,124.527
cwp057,60.25,155.819
cwp057,60.2,121.247
cwp057,62.95,129.708
cwp057,58.2,130.813
cwp057,60.15,129.652
cwp057,57.85,160.009
cwp058,68.75,199.115
cwp058,69.65,117.513
cwp058,64.85,180.565
cwp058,66.25,150.898
cwp058,71.5,202.25
cwp058,68.6,114.037
cwp058,71.35,110.841
cwp058,70.15,143.284
cwp058,70.4,174.684
cwp058,69.85,119.005
cwp059,73.75,105.787
cwp059,78.85,126
cwp059,79.45,106.219
cwp059,72.75,90.8735
cwp059,69.65,151.216
cwp059,74.15,109.564
cwp059,76.55,111.583
cwp059,72.55,105.063
cwp059,77.35,152.972
cwp059,70.75,129.586
cwp060,68.6,118.135
cwp060,63.35,93.4703
cwp060,61.25,100.176
cwp060,65.95,146.404
cwp060,70.15,116.625
cwp060,63.1,121.248
cwp060,62.1,174.762
cwp060,68.55,150.923
cwp060,71.6,165.322
cwp060,65.3,123.334
cwp061,98.3,143.67
cwp061,92.35,115.139
cwp061,86.9,115.441
cwp061,95.1,115.045
cwp061,92.2,141.16
cwp061,89.35,117.719
cwp061,94.65,143.855
cwp061,91.45,123.646
cwp061,95.4,139.418
cwp061,90.4,115.935
cwp062,105.9,145.585
cwp062,105.9,93.1503
cwp062,101.65,116.7
cwp062,101.8,119.892
cwp062,100.6,97.1747
cwp062,102.5,119.162
cwp062,101.9,143.595
cwp062,100.35,118.444
cwp062,110.9,121.196
cwp062,110.6,121.429
cwp063,159.15,103.867
cwp063,152.65,122.707
cwp063,153.75,86.284
cwp063,152.85,105.736
cwp063,162.75,108.75
cwp063,156.7,104.928
cwp063,172.5,111.207
cwp063,155.65,107.574
cwp063,163.8,104.833
cwp063,164.95,87.5326
cwp064,94,147.691
cwp064,85.85,121.878
cwp064,90.55,94.4405
cwp064,95.05,92.2954
cwp064,88.1,145.367
cwp064,92.25,99.7132
cwp064,86.9,146.843
cwp064,90.35,91.7865
cwp064,90.05,94.0023
cwp064,88.65,147.252
cwp065,113.8,115.424
cwp065,124.6,117.718
cwp065,116.4,142.499
cwp065,120.05,113.998
cwp065,123.5,118.019
cwp065,116.15,142.535
cwp065,115.55,90.3183
cwp065,113.25,140.118
cwp065,118.25,89.8849
cwp065,115.75,89.9716
cwp066,64.5,181.471
cwp066,64,141.805
cwp066,65.35,153.888
cwp066,60.55,139.066
cwp066,64.15,143.275
cwp066,62.3,112.739
cwp066,66.4,152.349
cwp066,65.95,176.974
cwp066,66.6,180.553
cwp066,63.65,156.653
cwp067,88.65,160.082
cwp067,83.05,251.293
cwp067,93.05,265.04
cwp067,91.55,211.305
cwp067,87.6,210.55
cwp067,85.05,216.762
cwp067,90.8,193.729
cwp067,93.25,163.525
cwp067,89.95,260.53
cwp067,83.75,205.883
cwp068,94.6,177.463
cwp068,96.4,252.727
cwp068,96.3,173.362
cwp068,98.3,146.302
cwp068,94.4,127.328
cwp068,91.2,190.327
cwp068,92.7,182.529
cwp068,95.95,187.816
cwp068,95.45,128.967
cwp068,102.9,171.408
cwp069,72.4,229.286
cwp069,72.35,148.122
cwp069,74,151.298
cwp069,75.25,155.815
cwp069,75.55,197.49
cwp069,70.55,149.447
cwp069,77.5,222.953
cwp069,75.95,177.569
cwp069,72.75,190.458
cwp069,77.65,139.976
cwp070,89.15,160.122
cwp070,91.65,282.132
cwp070,92.95,235.875
cwp070,90.4,198.008
cwp070,90.5,215.037
cwp070,91.95,153.378
cwp070,90.3,245.551
cwp070,92.3,194.112
cwp070,89.9,200.272
cwp070,89.7,154.565
